doi,references,subject,authors,affiliations,year,title,link,depth
10.1109/tvcg.2018.2868587,"[{'doi': '10.1109/ISMAR.2008.4637331'}, {'doi': '10.1037/0033-2909.116.2.220'}, {'doi': '10.1037//0022-0663.84.4.429'}, {'doi': '10.1207/S15326985EP3801_8'}, {'doi': '10.1109/VRAIS.1998.658416'}, {'doi': '10.1037/0022-3514.32.6.956'}, {'doi': '10.1038/4580'}, {'doi': '10.1080/00335558008248231'}, {'doi': '10.1146/annurev.ne.18.030195.001205'}, {'doi': '10.1109/TVCG.2011.183'}, {'doi': '10.1111/psyp.12419'}, {'doi': '10.1145/159544.159587'}, {'doi': '10.1098/rstb.2005.1622'}, {'doi': '10.1038/nrn2787'}, {'doi': '10.3389/fpsyg.2012.00151'}, {'doi': '10.1145/2371574.2371610'}, {'doi': '10.1017/S0140525X04000093'}, {'doi': '10.1109/ISMAR.2009.5336486'}, {'doi': '10.1109/ISMAR.2009.5336458'}, {'doi': '10.1016/j.neuron.2012.10.038'}, {'doi': '10.1109/ISMAR.2013.6671762'}, {'doi': '10.1109/ISMAR.2003.1240689'}, {'doi': '10.1201/b10624'}, {'doi': '10.1146/annurev-psych-122414-033400'}, {'doi': '10.1109/TVCG.2017.2735098'}, {'doi': '10.1097/PRS.0000000000001056'}, {'doi': '10.1109/HICSS.1992.183317'}, {'doi': '10.1007/s00371-015-1135-6'}, {'doi': '10.1007/s00429-012-0475-5'}, {'doi': '10.1016/j.cag.2009.06.001'}, {'doi': '10.1109/ISMAR.2011.6092386'}, {'doi': '10.1007/s40436-015-0131-4'}, {'doi': '10.1371/journal.pcbi.1002012'}, {'doi': '10.1145/2856400.2856416'}, {'doi': '10.1145/1357054.1357199'}, {'doi': '10.1145/642625.642626'}, {'doi': '10.1109/ISMAR.2014.6948425'}, {'doi': '10.1007/978-1-4419-8126-4'}, {'doi': '10.1016/S0364-0213(84)80003-8'}, {'doi': '10.1109/VR.2016.7504691'}, {'doi': '10.1109/TVCG.2016.2518318'}, {'doi': '10.1016/j.pmcj.2014.08.010'}, {'doi': '10.1016/S1364-6613(00)01452-2'}]","['Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Signal Processing', 'Software']","['Benjamin Volmer', 'James Baumeister', 'Stewart Von Itzstein', 'Ina Bornkessel-Schlesewsky', 'Matthias Schlesewsky', 'Mark Billinghurst', 'Bruce H. Thomas']","[[], [], [], [], [], [], []]",,A comparison of predictive spatial augmented reality cues for procedural tasks,https://ieeexplore.ieee.org/abstract/document/8493594/,0
10.1109/vr51125.2022.00079,"[{'doi': '10.1109/ISMAR.2013.6671762'}, {'doi': '10.1016/j.jarmac.2011.10.002'}, {'doi': '10.1207/S15327876MP1204_02'}, {'doi': '10.1007/s11940-006-0025-7'}, {'doi': '10.1109/ISMAR.2014.6948425'}, {'doi': '10.1109/TVCG.2021.3106476'}, {'doi': '10.1196/annals.1417.002'}, {'doi': '10.1016/S0001-4575(97)00022-5'}, {'doi': '10.1093/sleep/22.2.171'}, {'doi': '10.1145/3411764.3445724'}, {'doi': '10.1111/j.1365-2869.1992.tb00004.x'}, {'doi': '10.1016/S0001-4575(97)00026-2'}, {'doi': '10.1007/s11894-009-0032-4'}, {'doi': '10.1007/978-1-4684-2529-1_8'}, {'doi': '10.3758/s13428-016-0763-8'}, {'doi': '10.2147/NSS.S62907'}, {'doi': '10.3758/BF03200896'}, {'doi': '10.1016/0031-9384(92)90188-8'}, {'doi': '10.20870/IJVR.2012.11.1.2835'}, {'doi': '10.1136/oem.57.10.649'}, {'doi': '10.1111/j.1365-2869.2005.00468.x'}, {'doi': '10.1080/02640410701244983'}, {'doi': '10.1109/ISWC.2003.1241402'}, {'doi': '10.1109/TVCG.2018.2868587'}, {'doi': '10.1109/ISMAR.2008.4637331'}, {'doi': '10.1053/j.gastro.2007.09.039'}, {'doi': '10.1109/TVCG.2017.2735098'}, {'doi': '10.1201/b10624'}, {'doi': '10.1109/MCG.2014.117'}, {'doi': '10.1159/000281827'}, {'doi': '10.1093/sleep/28.9.1163'}, {'doi': '10.1016/j.ssci.2009.03.005'}, {'doi': '10.1056/NEJM199005033221801'}, {'doi': '10.3109/07420528.2010.488621'}, {'doi': '10.3758/BF03200977'}, {'doi': '10.5664/jcsm.26918'}, {'doi': '10.1145/192161.192199'}, {'doi': '10.1016/j.actaastro.2011.07.015'}, {'doi': '10.1093/sleep/34.5.581'}, {'doi': '10.18637/jss.v067.i01'}, {'doi': '10.1097/JOM.0b013e31822b8356'}, {'doi': '10.1046/j.1365-2869.2002.00309.x'}, {'doi': '10.1109/TVCG.2016.2518133'}, {'doi': '10.1037/0033-2909.116.2.220'}, {'doi': '10.1037//0022-0663.84.4.429'}, {'doi': '10.1093/sleep/19.4.318'}, {'doi': '10.1007/BF02244933'}, {'doi': '10.1046/j.1365-2869.1997.00023.x'}, {'doi': '10.1016/j.aap.2011.09.027'}, {'doi': '10.1207/S15326985EP3801_8'}, {'doi': '10.1016/S0140-6736(11)60750-2'}]",[],"['Benjamin Volmer', 'James Baumeister', 'Raymond Matthews', 'Linda Grosser', 'Stewart Von Itzstein', 'Siobhan Banks', 'Bruce H. Thomas']","[[{'name': 'University of South Australia'}], [{'name': 'University of South Australia'}], [{'name': 'University of South Australia'}], [{'name': 'University of South Australia'}], [{'name': 'University of South Australia'}], [{'name': 'University of South Australia'}], [{'name': 'University of South Australia'}]]",,A comparison of spatial augmented reality predictive cues and their effects on sleep deprived users,https://ieeexplore.ieee.org/abstract/document/9756823/,0
10.1109/ismar.2013.6671826,"[{'doi': '10.1145/964965.808590'}, {'doi': '10.1201/b10624'}, {'doi': '10.1162/pres.1997.6.4.355'}, {'doi': '10.1145/1833349.1778803'}, {'doi': '10.1111/j.1467-8659.2011.02066.x'}, {'doi': '10.1109/MC.2012.154'}, {'doi': '10.1145/358876.358882'}]",[],"['Markus Broecker', 'Bruce H. Thomas', 'Ross T. Smith']","[[], [], []]",,Adapting ray tracing to spatial augmented reality,https://ieeexplore.ieee.org/abstract/document/6671826/,0
10.1016/j.procir.2021.11.068,"[{'doi': '10.1016/j.procir.2020.04.053'}, {'doi': '10.1016/j.promfg.2020.01.287'}, {'doi': '10.1016/j.procir.2019.03.162'}, {'doi': '10.1109/INDIN.2014.6945523'}, {'doi': '10.1162/pres.1997.6.4.355'}, {'doi': '10.1016/j.promfg.2018.10.072'}, {'doi': '10.1145/159544.159630'}, {'doi': '10.1016/j.procir.2019.03.229'}, {'doi': '10.1016/j.ifacol.2017.08.1121'}, {'doi': '10.1007/978-3-030-68017-6_18'}, {'doi': '10.1109/CVPR.2016.91'}, {'doi': '10.1109/CVPR.2017.690'}, {'doi': '10.1145/2769493.2769496'}, {'doi': '10.1145/2971648.2971706'}, {'doi': '10.1145/3056540.3056547'}, {'doi': '10.1145/3056540.3056548'}, {'doi': '10.1145/2836041.2836067'}, {'doi': '10.1177/154193120605000909'}]",['General Medicine'],"['Patrick Rupprecht', 'Hans Kueffner-McCauley', 'Majesa Trimmel', 'Sebastian Schlund']","[[], [], [], []]",,Adaptive Spatial Augmented Reality for Industrial Site Assembly,https://www.sciencedirect.com/science/article/pii/S2212827121009665,0
10.1007/s41095-017-0090-8,"[{'doi': '10.1145/566570.566612'}, {'doi': '10.1007/978-3-7091-6242-2_9'}, {'doi': '10.1109/VR.2006.34'}, {'doi': '10.1111/j.1467-8659.2011.01985.x'}, {'doi': '10.1007/978-3-319-40651-0_10'}]","['Artificial Intelligence', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition']","['Christian Siegl', 'Matteo Colaianni', 'Marc Stamminger', 'Frank Bauer']","[[], [], [], []]",2017.0,Adaptive stray-light compensation in dynamic multi-projection mapping,http://dx.doi.org/10.1007/s41095-017-0090-8,0
10.1145/3357251.3358755,"[{'doi': '10.1109/VRAIS.1998.658418'}, {'doi': '10.1145/168642.168657'}]",[],"['Wallace Lages', 'Doug Bowman']","[[{'name': 'Virginia Tech, United States'}], [{'name': 'Virginia Tech, United States'}]]",2019.0,Adjustable Adaptation for Spatial Augmented Reality Workspaces,http://dx.doi.org/10.1145/3357251.3358755,0
10.36463/idw.2021.0630,[],['General Engineering'],['Shingo Kagami'],[[]],,A Low-Latency Image-Warping Projector with Application to Dynamic Projection Mapping,http://www.ic.is.tohoku.ac.jp/~swk/cv/pub/kagami_idw2021_invited.pdf,0
10.21278/idc.2018.0504,[],[],"['Federico Morosi', 'Iacopo Carli', 'Giandomenico Caruso', 'Gaetano Cascini', 'Vimal Dhokia', 'Fatma Ben Guefrache']","[[], [], [], [], [], []]",,Analysis of co-design scenarios and activities for the development of a spatial-augmented reality design platform,https://www.designsociety.org/publication/40457/ANALYSIS+OF+CO-DESIGN+SCENARIOS+AND+ACTIVITIES+FOR+THE+DEVELOPMENT+OF+A+SPATIAL-AUGMENTED+REALITY+DESIGN+PLATFORM,0
10.1080/09654313.2021.1959901,"[{'doi': '10.4324/9781315735870-8'}, {'doi': '10.1093/acprof:oso/9780199253326.001.0001'}, {'doi': '10.1080/13511610701722846'}, {'doi': '10.1038/s41562-019-0803-3'}, {'doi': '10.1093/jeg/lbu027'}, {'doi': '10.1191/0309132504ph469oa'}, {'doi': '10.1177/0969776414541135'}, {'doi': '10.1086/421787'}, {'doi': '10.1080/13662716.2017.1327844'}, {'doi': '10.1080/02692170903239879'}, {'doi': '10.1080/13662710903573869'}, {'doi': '10.1515/zfw-2020-0042'}, {'doi': '10.1086/228943'}, {'doi': '10.1080/09654313.2016.1246517'}, {'doi': '10.1080/09654310601078671'}, {'doi': '10.1016/j.foodpol.2014.03.011'}, {'doi': '10.1093/jeg/lbt006'}, {'doi': '10.1080/00343404.2017.1287349'}, {'doi': '10.1080/00343400601120296'}, {'doi': '10.2307/270949'}, {'doi': '10.1177/0308518X18784021'}, {'doi': '10.1111/j.1944-8287.2008.tb00365.x'}, {'doi': '10.1080/00343404.2012.699191'}, {'doi': '10.1086/228311'}, {'doi': '10.1017/S0020818300001442'}, {'doi': '10.1093/cjres/rsz001'}, {'doi': '10.5465/amr.1997.9711022109'}, {'doi': '10.1080/09654313.2013.790594'}, {'doi': '10.1017/CBO9780511815355'}, {'doi': '10.2189/asqu.52.4.667'}, {'doi': '10.2189/asqu.2010.55.1.47'}, {'doi': '10.1080/09654313.2011.573131'}, {'doi': '10.1080/09654310600852332'}, {'doi': '10.1016/j.emj.2021.01.012'}, {'doi': '10.2139/ssrn.962330'}, {'doi': '10.2189/asqu.2005.50.1.100'}, {'doi': '10.1093/jeg/lbu019'}, {'doi': '10.1068/a4310'}, {'doi': '10.1016/j.cities.2020.102653'}, {'doi': '10.1007/978-3-319-65506-2_20'}, {'doi': '10.1080/13662716.2015.1038098'}, {'doi': '10.1080/00343404.2014.891010'}, {'doi': '10.1080/09654313.2016.1261804'}, {'doi': '10.1287/orsc.1120.0819'}, {'doi': '10.1177/0170840614563743'}, {'doi': '10.1093/jnlecg/lbh027'}, {'doi': '10.1080/00343404.2018.1522431'}, {'doi': '10.1080/08985626.2013.877985'}, {'doi': '10.1080/00343400801922814'}, {'doi': '10.1086/432782'}, {'doi': '10.1080/19407963.2011.576870'}]","['Geography, Planning and Development']","['Etienne Capron', 'Dominique Sagot-Duvauroux', 'Raphaël Suire']","[[{'name': 'GRANEM, University of Angers, Angers, France'}], [{'name': 'GRANEM, University of Angers, Angers, France'}], [{'name': 'LEMNA, University of Nantes, Nantes, France'}]]",2021.0,"Anatomy of a techno-creative community – the role of brokers, places, and events in the emergence of projection mapping in Nantes",http://dx.doi.org/10.1080/09654313.2021.1959901,0
10.1145/3170427.3188535,"[{'doi': '10.1145/1753326.1753671'}, {'doi': '10.1145/2076354.2076393'}, {'doi': '10.1145/1409240.1409337'}, {'doi': '10.1145/2788940.2788947'}, {'doi': '10.1145/2642918.2647383'}, {'doi': '10.1145/1357054.1357275'}, {'doi': '10.1145/2317956.2318005'}, {'doi': '10.1007/978-3-642-40477-1_2'}, {'doi': '10.1145/642611.642706'}]",[],"['Jeremy Hartmann', 'Daniel Vogel']","[[{'name': 'University of Waterloo, Waterloo, ON, Canada'}], [{'name': 'University of Waterloo, Waterloo, ON, Canada'}]]",2018.0,An Evaluation of Mobile Phone Pointing in Spatial Augmented Reality,http://dx.doi.org/10.1145/3170427.3188535,0
